group,trial,cluster_id,semantic_name,edge_a,edge_b,usage_pattern
固定射影,3,0,混合・補助クラスタ,369,550,1000000100
固定射影,3,0,混合・補助クラスタ,381,502,1000000001
固定射影,3,0,混合・補助クラスタ,383,420,0000001100
固定射影,3,0,混合・補助クラスタ,393,439,0000000001
固定射影,3,0,混合・補助クラスタ,409,422,1000000000
固定射影,3,0,混合・補助クラスタ,418,500,0000000001
固定射影,3,0,混合・補助クラスタ,419,568,0000000001
固定射影,3,0,混合・補助クラスタ,439,552,0010000001
固定射影,3,0,混合・補助クラスタ,478,516,0000001100
固定射影,3,0,混合・補助クラスタ,496,516,0010001100
固定射影,3,0,混合・補助クラスタ,502,525,0000000001
固定射影,3,0,混合・補助クラスタ,534,559,0000000001
固定射影,3,0,混合・補助クラスタ,543,583,0010000000
固定射影,3,0,混合・補助クラスタ,550,574,1000000000
固定射影,3,1,雨中心クラスタ,24,205,0001100000
固定射影,3,1,雨中心クラスタ,24,243,0000100000
固定射影,3,1,雨中心クラスタ,43,357,0000100000
固定射影,3,1,雨中心クラスタ,46,365,0101110100
固定射影,3,1,雨中心クラスタ,61,313,0000100000
固定射影,3,1,雨中心クラスタ,61,540,0001100100
固定射影,3,1,雨中心クラスタ,131,305,0101110100
固定射影,3,1,雨中心クラスタ,131,343,0101110100
固定射影,3,1,雨中心クラスタ,136,489,0000100000
固定射影,3,1,雨中心クラスタ,163,254,0100110100
固定射影,3,1,雨中心クラスタ,172,304,0010100100
固定射影,3,1,雨中心クラスタ,172,382,0010100100
固定射影,3,1,雨中心クラスタ,205,373,0001100000
固定射影,3,1,雨中心クラスタ,254,343,0101110100
固定射影,3,1,雨中心クラスタ,257,541,0001100100
固定射影,3,1,雨中心クラスタ,301,382,0010100100
固定射影,3,1,雨中心クラスタ,301,396,0010100100
固定射影,3,1,雨中心クラスタ,304,382,0010100100
固定射影,3,1,雨中心クラスタ,305,365,0101110100
固定射影,3,1,雨中心クラスタ,308,485,0000100000
固定射影,3,1,雨中心クラスタ,308,490,0000100001
固定射影,3,1,雨中心クラスタ,313,469,0000100000
固定射影,3,1,雨中心クラスタ,395,400,0000100000
固定射影,3,1,雨中心クラスタ,395,479,0000100000
固定射影,3,1,雨中心クラスタ,400,479,0000100000
固定射影,3,1,雨中心クラスタ,405,489,0000100000
固定射影,3,1,雨中心クラスタ,405,587,0000110000
固定射影,3,1,雨中心クラスタ,467,477,0000110000
固定射影,3,1,雨中心クラスタ,477,587,0000110000
固定射影,3,1,雨中心クラスタ,540,541,0001100100
固定射影,3,2,天気共通クラスタ,22,66,1001010010
固定射影,3,2,天気共通クラスタ,22,536,1111010010
固定射影,3,2,天気共通クラスタ,66,216,1001010010
固定射影,3,2,天気共通クラスタ,84,277,1011011010
固定射影,3,2,天気共通クラスタ,84,492,1011011010
固定射影,3,2,天気共通クラスタ,144,148,1001010010
固定射影,3,2,天気共通クラスタ,144,355,1001010010
固定射影,3,2,天気共通クラスタ,148,536,1111010010
固定射影,3,2,天気共通クラスタ,169,545,1110001010
固定射影,3,2,天気共通クラスタ,201,224,1011001010
固定射影,3,2,天気共通クラスタ,201,235,1011001010
固定射影,3,2,天気共通クラスタ,201,572,1011001010
固定射影,3,2,天気共通クラスタ,212,224,1011001010
固定射影,3,2,天気共通クラスタ,212,509,1011001010
固定射影,3,2,天気共通クラスタ,216,514,1001000010
固定射影,3,2,天気共通クラスタ,235,362,1011001010
固定射影,3,2,天気共通クラスタ,241,483,1011001010
固定射影,3,2,天気共通クラスタ,241,572,1011001010
固定射影,3,2,天気共通クラスタ,271,362,1111001010
固定射影,3,2,天気共通クラスタ,277,492,1011011010
固定射影,3,2,天気共通クラスタ,302,461,1011001010
固定射影,3,2,天気共通クラスタ,349,545,1110001010
固定射影,3,2,天気共通クラスタ,461,509,1011001010
固定射影,3,3,雨中心クラスタ,31,291,0001010100
固定射影,3,3,雨中心クラスタ,42,529,0000010000
固定射影,3,3,雨中心クラスタ,76,78,0000010000
固定射影,3,3,雨中心クラスタ,76,551,0000010000
固定射影,3,3,雨中心クラスタ,78,551,0000010000
固定射影,3,3,雨中心クラスタ,83,177,0001010000
固定射影,3,3,雨中心クラスタ,83,269,0001010000
固定射影,3,3,雨中心クラスタ,101,551,0000010000
固定射影,3,3,雨中心クラスタ,139,174,0001000100
固定射影,3,3,雨中心クラスタ,139,257,0001000100
固定射影,3,3,雨中心クラスタ,140,473,0001010100
